feature,importance,fold
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,9479.400993347168,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,1312.2050857543945,1
BUREAU_AMT_CREDIT_SUM_LIMIT_STD,7689.299564361572,1
BUREAU_AMT_ANNUITY_SUM,5175.079578399658,1
BUREAU_AMT_ANNUITY_MEAN,6792.793905258179,1
BUREAU_AMT_ANNUITY_MAX,6451.114597320557,1
BUREAU_AMT_ANNUITY_MIN,6609.1972732543945,1
BUREAU_AMT_ANNUITY_STD,5802.31018447876,1
BUREAU_CREDIT_ACTIVE_NUNIQUE,1211.6831970214844,1
BUREAU_CREDIT_ACTIVE_<LAMBDA_0>,30264.848279953003,1
PREV_AMT_ANNUITY_SUM,24123.953353881836,1
PREV_AMT_ANNUITY_MEAN,36198.59214401245,1
PREV_AMT_ANNUITY_MAX,28455.04874420166,1
PREV_AMT_ANNUITY_MIN,37400.71446990967,1
PREV_AMT_ANNUITY_STD,29705.584077835083,1
PREV_AMT_APPLICATION_SUM,18154.917680740356,1
PREV_AMT_APPLICATION_MEAN,20053.116764068604,1
PREV_AMT_APPLICATION_MAX,17765.407419204712,1
PREV_AMT_APPLICATION_MIN,15288.364791870117,1
PREV_AMT_APPLICATION_STD,16974.634342193604,1
PREV_AMT_CREDIT_SUM,23931.80073738098,1
PREV_AMT_CREDIT_MEAN,20666.08037185669,1
PREV_AMT_CREDIT_MAX,27371.602981567383,1
PREV_AMT_CREDIT_MIN,18174.490476608276,1
PREV_AMT_CREDIT_STD,28860.168409347534,1
PREV_AMT_DOWN_PAYMENT_SUM,63825.074672698975,1
PREV_AMT_DOWN_PAYMENT_MEAN,24265.75923538208,1
PREV_AMT_DOWN_PAYMENT_MAX,30230.892293930054,1
PREV_AMT_DOWN_PAYMENT_MIN,11059.16679763794,1
PREV_AMT_DOWN_PAYMENT_STD,26752.290594100952,1
PREV_NAME_CONTRACT_STATUS_<LAMBDA>,65384.39408302307,1
PREV_DAYS_DECISION_MIN,50114.03659820557,1
PREV_DAYS_DECISION_MAX,35525.80012512207,1
INST_DAYS_LATE_MEAN,37533.73586463928,1
INST_DAYS_LATE_MAX,53722.549600601196,1
INST_DAYS_LATE_SUM,45130.324321746826,1
INST_DAYS_LATE_STD,48688.83284187317,1
INST_LATE_FLAG_SUM,11291.526439666748,1
INST_LATE_FLAG_MEAN,140548.8522567749,1
INST_AMT_PAYMENT_SUM,69635.56449508667,1
INST_AMT_PAYMENT_MEAN,34036.04410362244,1
INST_AMT_PAYMENT_MAX,59862.57269191742,1
CC_CC_UTIL_MEAN,46317.787868499756,1
CC_CC_UTIL_MAX,34709.14014625549,1
CC_CC_UTIL_STD,10210.476356506348,1
CC_AMT_BALANCE_MEAN,17655.705026626587,1
CC_AMT_BALANCE_MAX,17702.17456817627,1
CC_SK_ID_PREV_NUNIQUE,85.9979019165039,1
CC_SK_ID_PREV_COUNT,38176.63329696655,1
POS_MONTHS_BALANCE_MIN,58582.830154418945,1
POS_MONTHS_BALANCE_MAX,30628.82137298584,1
POS_MONTHS_BALANCE_COUNT,30525.341869354248,1
POS_NAME_CONTRACT_STATUS_<LAMBDA>,24803.106506347656,1
CREDIT_TO_INCOME,7160.76704788208,1
ANNUITY_TO_INCOME,51433.825759887695,1
EMPLOYED_YEARS,59065.61251831055,1
NAME_CONTRACT_TYPE_Cash_loans,12648.785669326782,1
NAME_CONTRACT_TYPE_Revolving_loans,4025.603630065918,1
NAME_CONTRACT_TYPE_nan,0.0,1
CODE_GENDER_F,36843.427783966064,1
CODE_GENDER_M,36305.65468120575,1
CODE_GENDER_XNA,0.0,1
CODE_GENDER_nan,0.0,1
FLAG_OWN_CAR_N,12536.946603775024,1
FLAG_OWN_CAR_Y,2258.282018661499,1
FLAG_OWN_CAR_nan,0.0,1
FLAG_OWN_REALTY_N,2084.061809539795,1
FLAG_OWN_REALTY_Y,495.891300201416,1
FLAG_OWN_REALTY_nan,0.0,1
NAME_TYPE_SUITE_Children,596.8119010925293,1
NAME_TYPE_SUITE_Family,1262.1846008300781,1
NAME_TYPE_SUITE_Group_of_people,0.0,1
NAME_TYPE_SUITE_Other_A,0.0,1
NAME_TYPE_SUITE_Other_B,452.619592666626,1
NAME_TYPE_SUITE_Spouse_partner,780.4343032836914,1
NAME_TYPE_SUITE_Unaccompanied,957.3008041381836,1
NAME_TYPE_SUITE_nan,0.0,1
NAME_INCOME_TYPE_Businessman,0.0,1
NAME_INCOME_TYPE_Commercial_associate,1182.958106994629,1
NAME_INCOME_TYPE_Maternity_leave,0.0,1
NAME_INCOME_TYPE_Pensioner,1651.7469673156738,1
NAME_INCOME_TYPE_State_servant,7050.536594390869,1
NAME_INCOME_TYPE_Student,0.0,1
NAME_INCOME_TYPE_Unemployed,0.0,1
NAME_INCOME_TYPE_Working,12130.250102996826,1
NAME_INCOME_TYPE_nan,0.0,1
NAME_EDUCATION_TYPE_Academic_degree,0.0,1
NAME_EDUCATION_TYPE_Higher_education,59876.017486572266,1
NAME_EDUCATION_TYPE_Incomplete_higher,698.8561019897461,1
NAME_EDUCATION_TYPE_Lower_secondary,542.3901977539062,1
NAME_EDUCATION_TYPE_Secondary__secondary_special,13403.704496383667,1
NAME_EDUCATION_TYPE_nan,0.0,1
NAME_FAMILY_STATUS_Civil_marriage,725.4594993591309,1
NAME_FAMILY_STATUS_Married,21511.14463710785,1
NAME_FAMILY_STATUS_Separated,668.0225028991699,1
NAME_FAMILY_STATUS_Single__not_married,3354.9963150024414,1
NAME_FAMILY_STATUS_Unknown,0.0,1
NAME_FAMILY_STATUS_Widow,1208.0691947937012,1
NAME_FAMILY_STATUS_nan,0.0,1
NAME_HOUSING_TYPE_Co-op_apartment,67.77839660644531,1
NAME_HOUSING_TYPE_House__apartment,2492.1116981506348,1
NAME_HOUSING_TYPE_Municipal_apartment,1446.609296798706,1
NAME_HOUSING_TYPE_Office_apartment,1743.0507049560547,1
NAME_HOUSING_TYPE_Rented_apartment,419.51890563964844,1
NAME_HOUSING_TYPE_With_parents,133.65589904785156,1
NAME_HOUSING_TYPE_nan,0.0,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,1677.7576942443848,1
WEEKDAY_APPR_PROCESS_START_MONDAY,2524.4416971206665,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,1361.8377895355225,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,1154.579906463623,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,1259.924617767334,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,1623.1910934448242,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1670.3893966674805,1
WEEKDAY_APPR_PROCESS_START_nan,0.0,1
FONDKAPREMONT_MODE_not_specified,426.31970596313477,1
FONDKAPREMONT_MODE_org_spec_account,386.9033012390137,1
FONDKAPREMONT_MODE_reg_oper_account,293.8838005065918,1
FONDKAPREMONT_MODE_reg_oper_spec_account,340.52239990234375,1
FONDKAPREMONT_MODE_nan,464.8763961791992,1
HOUSETYPE_MODE_block_of_flats,567.5460910797119,1
HOUSETYPE_MODE_specific_housing,0.0,1
HOUSETYPE_MODE_terraced_house,0.0,1
HOUSETYPE_MODE_nan,58.9385986328125,1
WALLSMATERIAL_MODE_Block,1160.7561111450195,1
WALLSMATERIAL_MODE_Mixed,0.0,1
WALLSMATERIAL_MODE_Monolithic,0.0,1
WALLSMATERIAL_MODE_Others,180.3682975769043,1
WALLSMATERIAL_MODE_Panel,3386.5491104125977,1
WALLSMATERIAL_MODE_Stone_brick,2477.8637075424194,1
WALLSMATERIAL_MODE_Wooden,0.0,1
WALLSMATERIAL_MODE_nan,44.81610107421875,1
EMERGENCYSTATE_MODE_No,908.3536949157715,1
EMERGENCYSTATE_MODE_Yes,53.905601501464844,1
EMERGENCYSTATE_MODE_nan,186.83259963989258,1
OCCUPATION_TYPE_FE,12838.60551071167,1
ORGANIZATION_TYPE_FE,26236.029032707214,1
CNT_CHILDREN,3266.9182147979736,2
AMT_INCOME_TOTAL,24269.0661945343,2
AMT_CREDIT,123393.1898393631,2
AMT_ANNUITY,93968.622382164,2
AMT_GOODS_PRICE,94380.9090089798,2
REGION_POPULATION_RELATIVE,45508.83501434326,2
DAYS_BIRTH,86804.84268283844,2
DAYS_EMPLOYED,98437.7604675293,2
DAYS_REGISTRATION,51549.42122745514,2
DAYS_ID_PUBLISH,74955.10629272461,2
OWN_CAR_AGE,39060.05013656616,2
FLAG_MOBIL,0.0,2
FLAG_EMP_PHONE,1737.5037155151367,2
FLAG_WORK_PHONE,4729.9906969070435,2
FLAG_CONT_MOBILE,0.0,2
FLAG_PHONE,2959.4142904281616,2
FLAG_EMAIL,1088.1343994140625,2
CNT_FAM_MEMBERS,6688.762614250183,2
REGION_RATING_CLIENT,5821.491117477417,2
REGION_RATING_CLIENT_W_CITY,14159.008150100708,2
HOUR_APPR_PROCESS_START,22825.66068458557,2
REG_REGION_NOT_LIVE_REGION,381.91180419921875,2
REG_REGION_NOT_WORK_REGION,75.73719787597656,2
LIVE_REGION_NOT_WORK_REGION,151.9605941772461,2
REG_CITY_NOT_LIVE_CITY,11600.204627990723,2
REG_CITY_NOT_WORK_CITY,2070.149196624756,2
LIVE_CITY_NOT_WORK_CITY,749.2994060516357,2
EXT_SOURCE_1,247681.78515720367,2
EXT_SOURCE_2,677644.3601846695,2
EXT_SOURCE_3,723076.9864168167,2
APARTMENTS_AVG,7817.361431121826,2
BASEMENTAREA_AVG,8320.430110931396,2
YEARS_BEGINEXPLUATATION_AVG,11703.454219818115,2
YEARS_BUILD_AVG,8222.73078918457,2
COMMONAREA_AVG,6707.705081939697,2
ELEVATORS_AVG,3263.7615966796875,2
ENTRANCES_AVG,8059.246282577515,2
FLOORSMAX_AVG,6311.627292633057,2
FLOORSMIN_AVG,3894.730499267578,2
LANDAREA_AVG,11639.519772529602,2
